ID,Population,Drainage,Habitat,H2S,Slope,RelativeSlope
PSO2,PSO,Taco,S,0.1,0.002421308,0.535727119
PSO3,PSO,Taco,S,0.1,0.00322841,0.714302677
PSO1,PSO,Taco,S,0.3,0.002744149,0.607157386
PSO2,PSO,Taco,S,0.3,0.002219532,0.491083118
PSO3,PSO,Taco,S,0.3,0.003470541,0.767875433
PSO1,PSO,Taco,S,0.5,0.004116223,0.910735969
PSO2,PSO,Taco,S,0.5,0.002441485,0.540191386
PSO3,PSO,Taco,S,0.5,0.00306699,0.678587654
PSO1,PSO,Taco,S,0.7,0.002179177,0.482154362
PSO2,PSO,Taco,S,0.7,0.002461663,0.544655874
PSO3,PSO,Taco,S,0.7,0.003551251,0.785732945
PSO1,PSO,Taco,S,0.9,0.001452785,0.321436315
PSO2,PSO,Taco,S,0.9,0.001210668,0.267866657
PSO3,PSO,Taco,S,0.9,0.002098467,0.464296851
Puya1,Puya,Puya,NS,0,0.003389831,0.823529483
Puya2,Puya,Puya,NS,0,0.004519774,1.098039149
Puya3,Puya,Puya,NS,0,0.004035513,0.980392219
Puya4,Puya,Puya,NS,0,0.004519774,1.098039149
Puya1,Puya,Puya,NS,0.1,0.002259887,0.549019574
Puya2,Puya,Puya,NS,0.1,0.004681195,1.137254954
Puya3,Puya,Puya,NS,0.1,0.001775626,0.431372644
Puya4,Puya,Puya,NS,0.1,0.003551251,0.862745046
Puya1,Puya,Puya,NS,0.3,0.001694915,0.41176462
Puya2,Puya,Puya,NS,0.3,0.00322841,0.784313678
Puya3,Puya,Puya,NS,0.3,0.003389831,0.823529483
Puya4,Puya,Puya,NS,0.3,0.001614205,0.392156839
Puya1,Puya,Puya,NS,0.5,0.000645682,0.156862736
Puya2,Puya,Puya,NS,0.5,0.002905569,0.70588231
Puya3,Puya,Puya,NS,0.5,0.001614205,0.392156839
Puya4,Puya,Puya,NS,0.5,0.002259887,0.549019574
Puya1,Puya,Puya,NS,0.7,0.000484262,0.117647173
Puya2,Puya,Puya,NS,0.7,0.001452785,0.352941277
Puya3,Puya,Puya,NS,0.7,0.000968523,0.235294103
Puya4,Puya,Puya,NS,0.7,0.000968523,0.235294103
Puya1,Puya,Puya,NS,0.9,0,0
Puya2,Puya,Puya,NS,0.9,0,0
Puya3,Puya,Puya,NS,0.9,0.000645682,0.156862736
Puya4,Puya,Puya,NS,0.9,0.000484262,0.117647173
Rosita1,Rosita,Pichu,NS,0,0.005569007,0.719687057
Rosita2,Rosita,Pichu,NS,0,0.010048426,1.29856582
Rosita3,Rosita,Pichu,NS,0,0.00968523,1.251629721
Rosita4,Rosita,Pichu,NS,0,0.005649718,0.730117402
Rosita1,Rosita,Pichu,NS,0.1,0.004842615,0.625814861
Rosita2,Rosita,Pichu,NS,0.1,0.007384988,0.954367679
Rosita3,Rosita,Pichu,NS,0.1,0.007384988,0.954367679
Rosita4,Rosita,Pichu,NS,0.1,0.005004036,0.646675421
Rosita1,Rosita,Pichu,NS,0.3,0.003631961,0.469361113
Rosita2,Rosita,Pichu,NS,0.3,0.00496368,0.641460184
Rosita3,Rosita,Pichu,NS,0.3,0.008474576,1.095175974
Rosita4,Rosita,Pichu,NS,0.3,0.003874092,0.500651888
Rosita1,Rosita,Pichu,NS,0.5,0.00306699,0.396349476
Rosita2,Rosita,Pichu,NS,0.5,0.002905569,0.375488916
Rosita3,Rosita,Pichu,NS,0.5,0.003510896,0.45371579
Rosita4,Rosita,Pichu,NS,0.5,0.002663438,0.344198141
Rosita1,Rosita,Pichu,NS,0.7,0.0031477,0.406779692
Rosita2,Rosita,Pichu,NS,0.7,0.004035513,0.521512448
Rosita3,Rosita,Pichu,NS,0.7,0.004842615,0.625814861
Rosita4,Rosita,Pichu,NS,0.7,0.001775626,0.229465513
Rosita1,Rosita,Pichu,NS,0.9,0.002905569,0.375488916
Rosita2,Rosita,Pichu,NS,0.9,0.003874092,0.500651888
Rosita3,Rosita,Pichu,NS,0.9,0.004842615,0.625814861
Rosita4,Rosita,Pichu,NS,0.9,0.002259887,0.292046935
